feature,score,normalized_score,importance,normalized_importance,combined_score
x634,3.945695739303179,0.014413106634800514,0.00037780623489289117,0.001427935181010786,0.00792052090790565
x506,3.9224174821632385,0.014328074228705887,0.0003687036946182055,0.0013935317321146178,0.007860802980410253
x264,3.9325617365194625,0.014365129853221076,0.00035583738213110466,0.0013449029416040053,0.007855016397412541
x137,3.9037511336173147,0.014259888517021422,0.0003410296351659441,0.00128893641461153,0.007774412465816476
x802,3.961364671474996,0.014470343179422107,0.00027276874828418315,0.0010309414085389128,0.00775064229398051
x250,3.047548703729594,0.01113229385734642,0.0010728859042929211,0.004055019177713574,0.007593656517529997
x330,3.5825570769211943,0.013086608949742139,0.0004954502436671478,0.0018725758551159327,0.007479592402429036
x397,3.6254072443279375,0.013243134965167117,0.0004312953401231706,0.0016300995925662427,0.007436617278866679
x178,3.6723117267196734,0.013414470859019288,0.00038342576849843607,0.001449174453937303,0.007431822656478296
x828,1.6557429098557022,0.006048210682301533,0.0022643837223163942,0.008558337268627689,0.007303273975464611
x226,3.6011668246073683,0.013154587905943897,0.000344971476909657,0.0013038347778040282,0.0072292113418739624
x442,3.569936340967443,0.013040507064262442,0.0003627126667824805,0.0013708883805048386,0.00720569772238364
x180,3.4783169083307874,0.012705833348988784,0.00041170478941468297,0.0015560562497401087,0.007130944799364446
x790,3.4766248075137853,0.012699652327662342,0.00039090266382479157,0.0014774337066843228,0.007088543017173332
x240,3.5095608718097324,0.012819963430746019,0.00028542343655874194,0.0010787703560868273,0.006949366893416423
x333,3.220900529660342,0.01176552523593176,0.0004482087339600153,0.0016940245039610174,0.006729774869946388
x631,3.1741668781337764,0.011594813364720687,0.00047897692441240496,0.0018103142248425774,0.006702563794781632
x502,2.4243533215504964,0.008855843240997356,0.0011552646829172003,0.004366373372806877,0.006611108306902117
x281,2.684553633429174,0.009806320695241724,0.0008817714818075019,0.0033326938631436432,0.006569507279192683
x367,3.159028877985386,0.011539516244822913,0.00041077944452070107,0.0015525588682607902,0.006546037556541852
x593,2.794252523459709,0.010207036286152589,0.0007447334054393691,0.0028147524627335206,0.006510894374443054
x682,2.341583046328539,0.00855349433175872,0.0010153550186015178,0.0038375786802142286,0.006195536505986474
x308,2.848717639620067,0.010405990178941765,0.0005235448090476751,0.001978760493157801,0.006192375336049783
x301,2.567625084954275,0.009379196114642717,0.0007823431971707087,0.002956900314737323,0.00616804821469002
x749,2.8644755873382994,0.010463551885625364,0.0004764560916227973,0.001800786627113157,0.006132169256369261
x270,2.314963815391394,0.008456257788603162,0.0010047228896199315,0.0037973940839326043,0.006126825936267883
x422,2.8202246480032276,0.010301909034917591,0.0005157665849735902,0.0019493623552358057,0.006125635695076698
x715,2.7603749910080717,0.010083286123947838,0.0005651960443823849,0.0021361831579368856,0.006109734640942362
x1,1.8304826713533215,0.006686512006632633,0.001407269664340636,0.005318837216783699,0.006002674611708166
x500,3.019851058032027,0.011031118007167343,0.0002529714649208539,0.0009561167106062495,0.005993617358886796
x443,2.2522688185223245,0.008227241225987524,0.0009722702763438349,0.0036747380133523673,0.005950989619669946
x763,2.323540468589925,0.008487587172642783,0.000859179689268787,0.003247307195617434,0.005867447184130108
x586,2.2574200041395454,0.008246057828306121,0.0008821491817983117,0.0033341213967704973,0.005790089612538309
x524,2.7597695805565183,0.01008107463933965,0.0003833143036757972,0.0014487531677673266,0.005764913903553488
x355,2.8851832074644177,0.010539194093426059,0.00020874017924183522,0.0007889426327609882,0.0056640683630935235
x14,2.131942397161088,0.007787704663452238,0.0009331705966254273,0.003526959064569279,0.005657331864010759
x6,2.721893417392473,0.009942718006018274,0.0003604310868884113,0.0013622650495533207,0.005652491527785798
x289,2.235274181329961,0.008165162055606143,0.0007875332722172348,0.002976516430265755,0.005570839242935949
x37,2.384123857490588,0.008708890309583862,0.0006395311131744205,0.002417135800079218,0.005563013054831541
x269,2.4464490291893073,0.008936555949581875,0.0005607379243045456,0.002119333498210857,0.005527944723896366
x514,2.2765535368033816,0.008315950102015248,0.0006880251163664294,0.0026004210051144136,0.00545818555356483
x776,2.635279627829858,0.00962632924533025,0.0003364127208217613,0.0012714865850139824,0.005448907915172116
x606,2.74501082460687,0.01002716284852913,0.00022859233011900771,0.0008639747048608181,0.0054455687766949736
x187,2.422756690808371,0.008850010959274915,0.0005390080756723604,0.002037204585360244,0.005443607772317579
x435,2.3522075977568146,0.00859230441819222,0.0005757311699058943,0.0021760011254080905,0.005384152771800156
x251,2.7842767895870786,0.010170596244759026,0.00015483212022801275,0.000585194767065585,0.005377895505912306
x356,2.0182535791357,0.007372414391305269,0.0008595196244367731,0.0032485919954454937,0.005310503193375381
x34,1.9564664336962185,0.007146714090339731,0.0009176448509975577,0.003468278830242959,0.005307496460291345
x664,2.4599562070528167,0.008985895890556737,0.0004160817457803769,0.0015725991476679192,0.005279247519112328
x316,2.523691499537588,0.009218712515982965,0.0003473813603459041,0.0013129430376021438,0.005265827776792555
x569,2.2865004570660936,0.008352284891088376,0.0005635621019893148,0.00213000760123261,0.005241146246160493
x444,2.2414625285062324,0.00818776727243934,0.0005958920506359875,0.0022522000554835143,0.005219983663961428
x211,2.3085759877051455,0.00843292389575138,0.0005275456655718111,0.001993881905292807,0.005213402900522093
x625,1.467949465102042,0.005362225973042366,0.001328303504478432,0.005020381163488205,0.005191303568265285
